INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('1', '수확비용', '14400000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('1', '열매선별비용', '2160000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('1', '기타운영비', '5760000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('2', '수확비용', '14400000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('2', '열매선별비용', '2160000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('2', '기타운영비', '5760000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('3', '수확비용', '11700000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('3', '열매선별비용', '1755000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('3', '기타운영비', '4680000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('4', '수확비용', '11700000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('4', '열매선별비용', '1755000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('4', '기타운영비', '4680000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('5', '수확비용', '12600000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('5', '열매선별비용', '1890000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('5', '기타운영비', '5040000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('6', '수확비용', '12600000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('6', '열매선별비용', '1890000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('6', '기타운영비', '5040000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('7', '수확비용', '8800000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('7', '열매선별비용', '1320000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('7', '기타운영비', '3520000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('8', '수확비용', '8800000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('8', '열매선별비용', '1320000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('8', '기타운영비', '3520000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('9', '수확비용', '8800000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('9', '열매선별비용', '1320000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('9', '기타운영비', '3520000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('10', '수확비용', '8800000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('10', '열매선별비용', '1320000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('10', '기타운영비', '3520000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('11', '수확비용', '8200000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('11', '열매선별비용', '1230000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('11', '기타운영비', '3280000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('12', '수확비용', '8200000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('12', '열매선별비용', '1230000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('12', '기타운영비', '3280000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('13', '수확비용', '8200000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('13', '열매선별비용', '1230000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('13', '기타운영비', '3280000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('14', '수확비용', '8200000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('14', '열매선별비용', '1230000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('14', '기타운영비', '3280000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('15', '수확비용', '14200000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('15', '열매선별비용', '2130000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('15', '기타운영비', '5680000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('16', '수확비용', '14200000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('16', '열매선별비용', '2130000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('16', '기타운영비', '5680000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('17', '수확비용', '10100000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('17', '열매선별비용', '1515000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('17', '기타운영비', '4040000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('18', '수확비용', '10100000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('18', '열매선별비용', '1515000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('18', '기타운영비', '4040000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('19', '수확비용', '10100000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('19', '열매선별비용', '1515000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('19', '기타운영비', '4040000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('20', '수확비용', '14500000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('20', '열매선별비용', '2175000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('20', '기타운영비', '5800000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('21', '수확비용', '14500000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('21', '열매선별비용', '2175000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('21', '기타운영비', '5800000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('22', '수확비용', '14500000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('22', '열매선별비용', '2175000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('22', '기타운영비', '5800000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('23', '수확비용', '14500000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('23', '열매선별비용', '2175000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('23', '기타운영비', '5800000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('24', '수확비용', '10500000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('24', '열매선별비용', '1575000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('24', '기타운영비', '4200000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('25', '수확비용', '10500000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('25', '열매선별비용', '1575000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('25', '기타운영비', '4200000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('26', '수확비용', '4800000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('26', '열매선별비용', '720000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('26', '기타운영비', '1920000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('27', '수확비용', '4800000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('27', '열매선별비용', '720000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('27', '기타운영비', '1920000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('28', '수확비용', '12200000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('28', '열매선별비용', '1830000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('28', '기타운영비', '4880000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('29', '수확비용', '12200000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('29', '열매선별비용', '1830000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('29', '기타운영비', '4880000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('30', '수확비용', '12200000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('30', '열매선별비용', '1830000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('30', '기타운영비', '4880000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('31', '수확비용', '9200000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('31', '열매선별비용', '1380000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('31', '기타운영비', '3680000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('32', '수확비용', '9200000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('32', '열매선별비용', '1380000');
